MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
18,93,1773.12947327936,13306,3022,10284,1673.12947327936,22.71155869532542
61,62,1773.106306434854,5122,689,4433,1673.106306434854,13.451776649746192
62,17,1772.8358821947654,18471,4025,14446,1672.8358821947654,21.790915489145146
65,48,1771.9744998507554,8415,1359,7056,1671.9744998507554,16.149732620320854
68,34,1770.8210586759394,11190,1983,9207,1670.8210586759394,17.721179624664877
73,42,1770.1549284922762,9323,1617,7706,1670.1549284922762,17.3442025099217
22,60,1769.797233173837,13808,2933,10875,1669.797233173837,21.241309385863268
24,84,1768.5808216060018,12292,2574,9718,1668.5808216060018,20.940449072567525
71,13,1768.1340770339066,22473,5089,17384,1668.1340770339066,22.64495171984159
22,92,1767.8360979125205,12374,2730,9644,1667.8360979125205,22.062388879909488
82,37,1767.7042430782958,10458,1851,8607,1667.7042430782958,17.69936890418818
77,71,1767.588633724421,5556,770,4786,1667.588633724421,13.858891288696903
46,71,1766.629450794027,9261,1624,7637,1666.629450794027,17.535903250188962
10,50,1766.3009001533728,22379,5486,16893,1666.3009001533728,24.51405335359042
95,13,1765.58523095465,22058,4997,17061,1665.58523095465,22.653912412730076
91,72,1765.0443749964234,6327,944,5383,1665.0443749964234,14.920183341235974
36,100,1764.8967798463923,9883,1934,7949,1664.8967798463923,19.568956794495598
34,32,1764.6201250166914,9401,1468,7933,1664.6201250166914,15.615360068077862
94,77,1763.4640520495586,6015,795,5220,1663.4640520495586,13.216957605985039
89,69,1763.4294637904354,6628,984,5644,1663.4294637904354,14.846107423053711
98,14,1762.9452859137814,20960,4735,16225,1662.9452859137814,22.59064885496183
25,93,1762.825559208156,11708,2455,9253,1662.825559208156,20.96856850017082
77,89,1762.6244157783258,5927,837,5090,1662.6244157783258,14.121815420954952
81,25,1762.0644796539873,14082,2728,11354,1662.0644796539873,19.372248260190315
60,31,1761.7949355429062,11886,2155,9731,1661.7949355429062,18.13057378428403
86,71,1761.1013520792917,6323,900,5423,1661.1013520792917,14.233749802309031
15,41,1761.0655125601502,18217,4045,14172,1661.0655125601502,22.204534226272163
55,57,1760.9922456936233,5979,825,5154,1660.9922456936233,13.798294029101857
76,80,1760.9365000584567,5103,645,4458,1660.9365000584567,12.639623750734863
9,60,1760.4232831882205,23414,6017,17397,1660.4232831882205,25.69830016229606
80,78,1760.4165384513658,4507,563,3944,1660.4165384513658,12.49167960949634
87,73,1760.0891233005173,6093,860,5233,1660.0891233005173,14.114557689151486
63,61,1758.5911474970521,5338,724,4614,1658.5911474970521,13.563132259273136
60,70,1758.5478287454869,6997,1024,5973,1658.5478287454869,14.63484350435901
46,16,1757.8903755825781,19562,4271,15291,1657.8903755825781,21.833145895102753
64,15,1756.6924001682619,20464,4496,15968,1656.6924001682619,21.970289288506645
30,69,1755.670304392986,11770,2268,9502,1655.670304392986,19.26932880203908
55,62,1755.6249839217664,7018,1017,6001,1655.6249839217664,14.491308064975778
73,31,1755.2528384406878,11950,2184,9766,1655.2528384406878,18.276150627615063
78,43,1754.3653254453097,9127,1517,7610,1654.3653254453097,16.62101457214857
51,75,1753.5203333529125,8634,1424,7210,1653.5203333529125,16.492934908501276
73,35,1752.6858570479258,10778,1883,8895,1652.6858570479258,17.47077379847838
57,64,1751.799937432309,6837,998,5839,1651.799937432309,14.597045487787042
36,95,1751.7074630982756,9947,1907,8040,1651.7074630982756,19.171609530511713
79,1,1751.6190000013378,33638,8037,25601,1651.6190000013378,23.892621440038052
85,1,1751.5460000013252,33454,7962,25492,1651.5460000013252,23.799844562683088
59,42,1751.1250950616027,9338,1531,7807,1651.1250950616027,16.395373741700578
66,66,1751.0900000001936,4679,636,4043,1651.0900000001936,13.592648001709767
26,13,1750.983307618082,23219,5179,18040,1650.983307618082,22.30500882897627
59,73,1749.049452087742,7395,1089,6306,1649.049452087742,14.726166328600407
55,68,1748.6088823031316,7762,1164,6598,1648.6088823031316,14.99613501674826
43,13,1748.4817695413985,22982,5215,17767,1648.4817695413985,22.6916717431033
15,29,1748.038482792183,19776,4334,15442,1648.038482792183,21.915453074433657
46,70,1747.0868000846758,9242,1606,7636,1647.0868000846758,17.37719108418091
99,53,1746.8471698207843,8224,1359,6865,1646.8471698207843,16.52480544747082
98,56,1746.7293927985443,7807,1286,6521,1646.7293927985443,16.4723965671833
51,46,1746.540000029076,7638,1145,6493,1646.540000029076,14.990835297198219
44,41,1745.6246829335287,8007,1223,6784,1645.6246829335287,15.274135131759712
60,65,1745.6109692142809,6265,886,5379,1645.6109692142809,14.142059058260175
69,27,1745.2711478428355,13453,2510,10943,1645.2711478428355,18.65754850219282
20,58,1745.0306034338682,14571,3159,11412,1645.0306034338682,21.680049413218036
63,32,1744.8295936385746,11619,2098,9521,1644.8295936385746,18.0566313796368
62,34,1743.9540000064646,11119,1974,9145,1643.9540000064646,17.753395089486464
60,41,1743.0961706937378,9456,1562,7894,1643.0961706937378,16.51861252115059
51,70,1742.706385679282,8455,1346,7109,1642.706385679282,15.919574216439978
32,32,1742.5580000003017,8380,1286,7094,1642.5580000003017,15.346062052505966
7,90,1742.4784778289977,26958,7471,19487,1642.4784778289977,27.713480228503602
41,66,1742.4412121259934,9960,1777,8183,1642.4412121259934,17.84136546184739
76,36,1742.384944303675,10622,1864,8758,1642.384944303675,17.548484277913765
21,97,1741.7136496138146,12332,2695,9637,1641.7136496138146,21.85371391501784
76,15,1741.4671329899916,20218,4481,15737,1641.4671329899916,22.163418735779995
25,87,1741.4312415855247,12014,2461,9553,1641.4312415855247,20.484434826036292
40,13,1741.2627697043085,22946,5191,17755,1641.2627697043085,22.62267933408873
44,46,1740.9991304334699,7209,1058,6151,1640.9991304334699,14.676099320294078
81,1,1740.6560000013294,33539,7992,25547,1640.6560000013294,23.828975222874863
55,78,1740.3377307424696,8088,1325,6763,1640.3377307424696,16.382294757665676
96,43,1740.0309071074394,9305,1591,7714,1640.0309071074394,17.09833422890919
87,79,1738.612392440245,5360,708,4652,1638.612392440245,13.208955223880597
51,74,1738.3132566883,8582,1403,7179,1638.3132566883,16.348170589606152
37,87,1738.1076780201784,10072,1903,8169,1638.1076780201784,18.893963463065923
43,33,1738.0778181688054,11088,1861,9227,1638.0778181688054,16.783910533910536
87,70,1737.963457163938,6539,944,5595,1637.963457163938,14.436458174032726
95,14,1737.053000205426,20933,4733,16200,1637.053000205426,22.610232647016673
99,29,1736.4102757918217,12683,2420,10263,1636.4102757918217,19.080659150043367
36,99,1734.7404645291595,9937,1933,8004,1634.7404645291595,19.45255107175204
43,16,1734.3306254340484,19479,4240,15239,1634.3306254340484,21.76703116176395
79,25,1734.1500397756354,14122,2732,11390,1634.1500397756354,19.345701741962895
36,98,1733.7416631295578,9970,1942,8028,1633.7416631295578,19.478435305917756
31,83,1733.3558675674362,11122,2086,9036,1633.3558675674362,18.75561949289696
9,65,1732.6187844694432,23092,5944,17148,1632.6187844694432,25.740516196085224
40,26,1732.6076538813784,13421,2461,10960,1632.6076538813784,18.336934654645702
58,15,1732.3997337254682,20434,4541,15893,1632.3997337254682,22.222765978271507
12,16,1731.846000309621,22925,5143,17782,1631.846000309621,22.4340239912759
60,60,1730.734000000206,4962,665,4297,1630.734000000206,13.401854091092302
84,75,1730.2773066796967,5701,765,4936,1630.2773066796967,13.418698473951936
65,13,1730.1412309588848,22616,5095,17521,1630.1412309588848,22.528298549699326
24,49,1729.8902653756493,13890,2821,11069,1629.8902653756493,20.30957523398128
83,1,1728.7420000013315,33475,7947,25528,1628.7420000013315,23.740104555638535
63,58,1728.4169826953482,6327,912,5415,1628.4169826953482,14.414414414414415
