time,open,high,low,close,tick_volume,spread
2026-02-26 19:45:00,5186.048,5193.965,5186.048,5193.651,777,0
2026-02-26 19:50:00,5193.731,5193.965,5188.872,5189.6,621,0
2026-02-26 19:55:00,5189.71,5190.576,5186.45,5187.105,563,0
2026-02-26 20:00:00,5187.023,5193.657,5186.819,5193.609,522,0
2026-02-26 20:05:00,5193.686,5196.554,5193.507,5195.108,554,0
2026-02-26 20:10:00,5195.093,5197.853,5194.094,5196.824,560,0
2026-02-26 20:15:00,5196.661,5197.127,5191.942,5194.361,748,0
2026-02-26 20:20:00,5194.783,5197.931,5194.133,5197.727,517,0
2026-02-26 20:25:00,5197.651,5197.651,5193.314,5193.794,581,0
2026-02-26 20:30:00,5193.639,5194.889,5190.616,5194.381,679,0
2026-02-26 20:35:00,5194.317,5199.304,5194.082,5197.873,498,0
2026-02-26 20:40:00,5197.564,5199.298,5196.288,5198.131,552,0
2026-02-26 20:45:00,5198.205,5200.86,5198.205,5199.877,573,0
2026-02-26 20:50:00,5199.957,5200.2,5191.496,5192.834,752,0
2026-02-26 20:55:00,5192.749,5197.1,5189.347,5196.183,951,0
2026-02-26 21:00:00,5196.494,5200.483,5196.494,5198.504,511,0
2026-02-26 21:05:00,5198.683,5199.768,5198.183,5199.548,373,0
2026-02-26 21:10:00,5199.335,5199.386,5196.166,5196.643,401,0
2026-02-26 21:15:00,5196.568,5197.013,5193.475,5195.016,421,0
2026-02-26 21:20:00,5194.93,5196.519,5191.359,5191.433,414,0
2026-02-26 21:25:00,5191.435,5192.187,5184.849,5185.927,730,0
2026-02-26 21:30:00,5186.021,5188.986,5184.495,5185.185,429,0
2026-02-26 21:35:00,5185.27,5187.395,5184.345,5187.194,285,0
2026-02-26 21:40:00,5187.188,5191.498,5186.568,5190.029,344,0
2026-02-26 21:45:00,5189.895,5189.895,5186.959,5187.51,296,0
2026-02-26 21:50:00,5187.515,5188.213,5182.884,5183.521,520,0
2026-02-26 21:55:00,5183.429,5186.257,5183.028,5184.92,237,0
2026-02-26 23:00:00,5187.994,5188.217,5175.472,5181.805,803,0
2026-02-26 23:05:00,5182.106,5186.202,5178.914,5184.511,472,0
2026-02-26 23:10:00,5184.485,5188.179,5183.05,5184.068,527,0
2026-02-26 23:15:00,5184.019,5185.7,5182.732,5184.03,327,0
2026-02-26 23:20:00,5184.015,5187.199,5183.46,5183.862,295,0
2026-02-26 23:25:00,5183.779,5185.435,5181.197,5183.662,411,0
2026-02-26 23:30:00,5183.777,5184.826,5181.524,5183.568,444,0
2026-02-26 23:35:00,5183.55,5186.94,5183.303,5186.732,337,0
2026-02-26 23:40:00,5186.943,5189.094,5183.989,5185.759,542,0
2026-02-26 23:45:00,5185.677,5188.3,5183.652,5183.891,400,0
2026-02-26 23:50:00,5183.924,5185.738,5182.477,5184.725,426,0
2026-02-26 23:55:00,5184.805,5185.021,5183.355,5184.462,308,0
2026-02-27 00:00:00,5184.431,5185.531,5178.898,5180.345,739,0
2026-02-27 00:05:00,5180.287,5184.981,5179.245,5182.404,674,0
2026-02-27 00:10:00,5182.464,5186.39,5182.294,5185.698,608,0
2026-02-27 00:15:00,5185.536,5189.946,5185.071,5189.114,579,0
2026-02-27 00:20:00,5189.192,5194.904,5188.443,5192.341,653,0
2026-02-27 00:25:00,5192.261,5192.599,5187.782,5188.074,517,0
2026-02-27 00:30:00,5188.149,5189.792,5179.636,5182.348,794,0
