time,open,high,low,close,tick_volume,spread
2026-01-12 13:00:00,4590.435,4620.453,4588.695,4615.806,28489,0
2026-01-12 14:00:00,4615.85,4617.363,4584.885,4602.226,53552,0
2026-01-12 15:00:00,4602.193,4627.426,4601.81,4621.268,33511,0
2026-01-12 16:00:00,4621.242,4630.183,4607.824,4616.948,23236,0
2026-01-12 17:00:00,4616.941,4620.648,4610.771,4616.469,18282,0
2026-01-12 18:00:00,4616.477,4618.617,4600.443,4610.738,19604,0
2026-01-12 19:00:00,4610.794,4619.056,4608.644,4611.105,11416,0
2026-01-12 20:00:00,4611.138,4611.76,4591.514,4593.806,19301,0
2026-01-12 21:00:00,4593.84,4597.275,4589.224,4596.711,9378,0
2026-01-12 23:00:00,4600.673,4603.593,4577.934,4599.371,15283,0
2026-01-13 00:00:00,4599.408,4599.697,4584.472,4587.454,11829,0
2026-01-13 01:00:00,4587.452,4595.779,4575.45,4577.984,29487,0
2026-01-13 02:00:00,4577.916,4595.054,4576.696,4594.245,17021,0
2026-01-13 03:00:00,4594.211,4599.717,4592.527,4594.166,11667,0
2026-01-13 04:00:00,4594.125,4599.738,4593.884,4596.501,8230,0
2026-01-13 05:00:00,4596.502,4602.247,4585.601,4592.164,15655,0
2026-01-13 06:00:00,4592.102,4592.361,4573.281,4581.585,18118,0
2026-01-13 07:00:00,4581.674,4587.236,4577.482,4580.548,12034,0
2026-01-13 08:00:00,4580.515,4597.225,4579.536,4592.785,13433,0
2026-01-13 09:00:00,4592.752,4595.735,4585.659,4586.197,9943,0
2026-01-13 10:00:00,4586.164,4588.289,4580.403,4586.3,9117,0
2026-01-13 11:00:00,4586.297,4592.014,4582.032,4588.503,9829,0
2026-01-13 12:00:00,4588.599,4595.195,4577.847,4593.218,10036,0
2026-01-13 13:00:00,4593.188,4621.052,4590.71,4611.565,33265,0
2026-01-13 14:00:00,4611.528,4634.774,4609.05,4629.894,37348,0
2026-01-13 15:00:00,4629.85,4630.291,4600.864,4619.104,39974,0
2026-01-13 16:00:00,4619.001,4620.796,4592.827,4613.306,24968,0
2026-01-13 17:00:00,4613.269,4616.064,4586.704,4590.502,21339,0
2026-01-13 18:00:00,4590.452,4602.088,4581.045,4594.198,27201,0
