MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
5,42,4698.311642847473,3829,1045,2784,4598.311642847473,27.291721075998954
37,24,4695.189999995472,1374,242,1132,4595.189999995472,17.612809315866084
64,57,4695.080561401674,619,80,539,4595.080561401674,12.924071082390952
84,25,4693.257359990631,1388,257,1131,4593.257359990631,18.51585014409222
6,76,4691.634184204975,3015,818,2197,4591.634184204975,27.131011608623552
11,47,4691.053042548135,2103,524,1579,4591.053042548135,24.916785544460296
6,61,4690.497245905072,3139,845,2294,4590.497245905072,26.9194010831475
5,72,4689.781944437199,3499,985,2514,4589.781944437199,28.15090025721635
14,5,4689.736999990214,4182,988,3194,4589.736999990214,23.625059780009565
13,32,4687.593562500048,2035,500,1535,4587.593562500048,24.57002457002457
79,1,4687.529000000112,2820,561,2259,4587.529000000112,19.893617021276597
90,25,4687.387399986149,1396,260,1136,4587.387399986149,18.624641833810887
43,14,4686.903071443127,1972,413,1559,4586.903071443127,20.943204868154158
53,22,4686.683863628804,1418,298,1120,4586.683863628804,21.015514809590975
51,50,4686.582220000562,587,88,499,4586.582220000562,14.991482112436117
56,48,4686.285979166532,755,118,637,4586.285979166532,15.62913907284768
20,90,4684.887899996944,1335,297,1038,4584.887899996944,22.247191011235955
41,25,4683.622239999749,1347,239,1108,4583.622239999749,17.743132887899034
56,13,4683.504076923152,2073,437,1636,4583.504076923152,21.080559575494455
17,31,4682.6774516192,1724,370,1354,4582.6774516192,21.46171693735499
88,25,4681.864439987913,1384,260,1124,4581.864439987913,18.786127167630056
25,14,4681.1026428515215,2066,400,1666,4581.1026428515215,19.36108422071636
66,21,4680.35561904179,1456,289,1167,4580.35561904179,19.8489010989011
20,25,4680.312639999912,1511,279,1232,4580.312639999912,18.464592984778292
49,50,4680.3118399991,584,88,496,4580.3118399991,15.068493150684931
94,22,4679.942318175363,1465,294,1171,4579.942318175363,20.06825938566553
71,1,4679.907000000115,2821,563,2258,4579.907000000115,19.957461892945762
50,51,4679.74068627359,583,88,495,4579.74068627359,15.09433962264151
